key;en;de
Do you know which friend?;Do you know which friend?;Wissen sie, welcher Freund es war?
Did he tell you where the house is?;Did he tell you where the house is?;Hat er ihnen gesagt, wo das Haus ist?
Thank you for your help.;Thank you for your help.;Vielen Dank für Ihre Hilfe!
Speak to Kevo's brother;Speak to Kevo's brother;Spreche mit Kevo’s Bruder
Kevo's brother wants to speak to me. I'd better hear what he has to say.;Kevo's brother wants to speak to me. I'd better hear what he has to say.;Kevo’s Bruder will mit mir sprechen. Ich höre besser zu, was er zu sagen hat.
Search Kevo's house;Search Kevo's house;Durchsuche Kevo’s Haus
I should look in the matchbox in the living room on the ground floor. It's next to the tiled stove in the corner. ;I should look in the matchbox in the living room on the ground floor. It's next to the tiled stove in the corner. ;Ich sollte in die Schachtel Streichhölzer im Wohnzimmer im Erdgeschoss schauen. Die liegt in der Nähe vom gefliesten Herd in der Ecke.
I can reach the upper floor from the small hallway. Maybe one of the doors there can be opened with the key I found.;I can reach the upper floor from the small hallway. Maybe one of the doors there can be opened with the key I found.;Ich kann das Obergeschoss vom kleinen Flur erreichen. Vielleicht kann ich eine der Türen da mit dem Schlüssel öffnen, den ich gefunden habe.
The yellow porcelain tray in the upper floor bedroom holds something of interest.;The yellow porcelain tray in the upper floor bedroom holds something of interest.;Der gelbe Aschenbecher aus Porzellan im Schlafzimmer im Obergeschoss ist ganz interessant.
Open the cupboard on the upper floor;Open the cupboard on the upper floor;Öffne den Schrank im Obergeschoss
I'd better try the hex key on the dresser in the ground floor bedroom, and see what's in it. ;I'd better try the hex key on the dresser in the ground floor bedroom, and see what's in it. ;Ich sollte versuchen, ob der hexagonale Schlüssel in den Schrank im Schlafzimmer im Erdgeschoss passt.
I think I can open the corner cupboard in the upper floor bedroom with the code written down in the folder with the will. It's 'BJ61'. If I find something in the cupboard that will get me further, I'll take it.;I think I can open the corner cupboard in the upper floor bedroom with the code written down in the folder with the will. It's 'BJ61'. If I find something in the cupboard that will get me further, I'll take it.;Ich glaube, dass ich mit dem Code aus dem Ordner mit dem Testament den Eckschrank im Schlafzimmer im Obergeschoss öffnen kann. Er lautet „BJ61“. Wenn ich da irgendwas finde, das mich weiterbringt, nehme ich es mit.
Access the inner room on the upper floor;Access the inner room on the upper floor;Zugang zum Innenraum im Obergeschoss erhalten
I need to explore the area outside the house. I have to follow the path to the left of the house, all the way down to the jetty.;I need to explore the area outside the house. I have to follow the path to the left of the house, all the way down to the jetty.;Ich muss den Bereich außerhalb des Hauses erkunden. Ich sollte dem Pfad links vom Haus folgen, ganz runter bis zum Steg.
I can use the file on the screwdriver to make it slightly slimmer.;I can use the file on the screwdriver to make it slightly slimmer.;Ich kann den Schraubendreher nutzen, um es etwas dünner zu machen.
I will try the screwdriver on the door on the upper floor now.;I will try the screwdriver on the door on the upper floor now.;Ich werde den Schraubendreher nun im Obergeschoss ausprobieren.
Unlock the diary in the living room;Unlock the diary in the living room;Das Tagebuch im Wohnzimmer öffnen
I must check the room behind the previously locked door on the upper floor thoroughly. The colours on the hanging tapestry might have a meaning. I think they open the diary under the TV in the living room on the ground floor.;I must check the room behind the previously locked door on the upper floor thoroughly. The colours on the hanging tapestry might have a meaning. I think they open the diary under the TV in the living room on the ground floor.;Ich muss den Raum hinter der zuvor verschlossenen Tür im Obergeschoss gründlich untersuchen. Die Farben auf dem Wandteppich könnten eine Bedeutung haben. Ich denke, dass sie das Tagebuch unter dem Fernseher im Wohnzimmer im Erdgeschoss öffnen.
Open the cigar box;There's a cigar box in a closet in the room behind the previously locked door on August's upper floor. I think I have enough information on how to open the box in August's letter to his father. The code is probably 'RAZE'. I must take a good look at what's inside the box.;Da ist eine Zigarrenschachtel in einem Schrank in dem Raum hinter der zuvor verschlossenen Tür in August’s Obergeschoss. Ich denke, durch August’s Brief an seinen Vater habe ich genug informationen wie man die Schachtel öffnet.
"It just occurred to me that Kevo recently spent a lot of
time at a holiday house that belongs to a friend of his.";It just occurred to me that Kevo recently spent a lot of time at a holiday house that belongs to a friend of his.;Gerade fällt mir ein, dass Kevo vor Kurzem viel Zeit in einem Ferienhaus eines Freundes verbracht hat.
"No, but he must have let him stay there for free,
since he couldn’t possibly have afforded it.";No, but he must have let him stay there for free, since he couldn’t possibly have afforded it.;"Nein, aber er wird ihn da kostenlos übernachtet haben lassen; er hätte sich das sonst bestimmt nicht leisten können."
It’s somewhere at the countryside.;It’s somewhere at the countryside.;Es ist irgendwo auf dem Land.
"He wanted me to know where he was in case something happened,
so he gave me this note with the address.";He wanted me to know where he was in case something happened, so he gave me this note with the address.;Falls irgendwas passiert, wollte er mich wissen lassen wo er steckt. Also hat er mir diese Notiz mit der Adresse gegeben.
It's slightly too large.;It's slightly too large.;Es ist ein wenig zu groß.
Do you really want to leave Carol here?;Do you really want to leave Carol here?;Willst Du Carol hier wirklich zurück lassen?
Are you sure you want to overwrite a saved game?;Are you sure you want to overwrite a saved game?;Willst Du das Spiel wirklich überschreiben?
You will lose all progress when starting a new game. Do you really want to restart?;You will lose all progress when starting a new game. Do you really want to restart?;Du wirst Deinen gesamten Fortschritt verlieren, wenn das Spiel neu startest. Möchtest Du das wirklich tun?